ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
8143144	5.19e-43	4.99e-46	16.891779	93.94852	0.25700719	PTN	pleiotrophin
7959002	6.52e-43	6.46e-46	16.862737	93.71892	0.16313138	SDSL	serine dehydratase like
8068522	1.03e-42	1.05e-45	16.808158	93.20236	0.07264815	TTC3	tetratricopeptide repeat domain 3
8123104	2.56e-42	2.69e-45	16.702302	92.26585	0.27480362	FNDC1	fibronectin type III domain containing 1
8044021	3.85e-42	4.28e-45	-16.650121	91.83632	-0.41612773	IL1RL1	interleukin 1 receptor like 1
8055194	3.72e-42	4.03e-45	-16.656873	91.83629	-0.26689355	TUBA3E	tubulin alpha 3e
7960794	4.98e-42	5.68e-45	-16.618194	91.536	-0.29781439	CD163	CD163 molecule
7952011	7.91e-42	9.27e-45	16.563096	91.06602	0.21587009	SCN2B	sodium voltage-gated channel beta subunit 2
7933750	1.31e-41	1.57e-44	16.503781	90.46388	0.30498206	SLC16A9	solute carrier family 16 member 9
7931097	1.39e-41	1.71e-44	16.493979	90.43204	0.10570119	HTRA1	HtrA serine peptidase 1
8073449	1.48e-41	1.86e-44	-16.484491	90.27351	-0.13840947	CSDC2	cold shock domain containing C2
8134463	2.09e-41	2.70e-44	-16.442854	90.00032	-0.21465598	NPTX2	neuronal pentraxin 2
8066964	4.59e-41	6.06e-44	-16.351676	89.20245	-0.07823544	TMEM189-UBE2V1///TMEM189///UBE2V1	TMEM189-UBE2V1 readthrough///transmembrane protein 189///ubiquitin conjugating enzyme E2 V1
7929634	4.86e-41	6.56e-44	-16.34267	89.07895	-0.08285686	ZDHHC16	zinc finger DHHC-type containing 16
7996198	5.27e-41	7.28e-44	16.331041	89.00863	0.20748122	CCDC113	coiled-coil domain containing 113
7985934	8.76e-41	1.24e-43	-16.27131	88.50036	-0.16020808	SEMA4B	semaphorin 4B
7896730	8.76e-41	1.27e-43	16.268554	88.47281	0.20824554		
8094184	8.76e-41	1.29e-43	16.266638	88.37809	0.2207809	C1QTNF7	C1q and tumor necrosis factor related protein 7
8092691	9.19e-41	1.38e-43	-16.25891	88.30835	-0.12510776	BCL6	B-cell CLL/lymphoma 6
8173287	2.24e-40	3.43e-43	-16.156245	87.47018	-0.26107483	VSIG4	V-set and immunoglobulin domain containing 4
7973110	2.26e-40	3.53e-43	-16.153093	87.3992	-0.38508337	RNASE2	ribonuclease A family member 2
7898328	4.41e-40	7.02e-43	-16.075534	86.68693	-0.05214081	SZRD1	SUZ RNA binding domain containing 1
8117458	5.57e-40	9.03e-43	16.047163	86.53079	0.15318002	BTN3A1	butyrophilin subfamily 3 member A1
8092457	6.00e-40	9.91e-43	-16.036599	86.3819	-0.09446669	ALG3	ALG3, alpha-1,3- mannosyltransferase
8097307	6.24e-40	1.05e-42	16.030119	86.37495	0.09676824	INTU	inturned planar cell polarity protein
8013191	7.63e-40	1.31e-42	-16.00551	86.06189	-0.06574347	FLII	FLII, actin remodeling protein
7946454	7.96e-40	1.39e-42	15.99875	86.05888	0.25613274	SCUBE2	signal peptide, CUB domain and EGF like domain containing 2
7934334	8.25e-40	1.46e-42	15.992793	85.98102	0.17651197	CFAP70	cilia and flagella associated protein 70
7916747	8.59e-40	1.55e-42	-15.986331	85.77236	-0.04335961	JAK1	Janus kinase 1
8114593	1.35e-39	2.47e-42	15.933642	85.51378	0.10932269	APBB3	amyloid beta precursor protein binding family B member 3
8143879	1.91e-39	3.56e-42	-15.892341	85.15521	-0.08237832	TMUB1	transmembrane and ubiquitin like domain containing 1
8091354	2.42e-39	4.59e-42	15.863678	84.87259	0.10496966	HLTF	helicase like transcription factor
8000244	4.41e-39	8.48e-42	-15.794314	84.16424	-0.0929058	USP31	ubiquitin specific peptidase 31
8038347	5.73e-39	1.12e-41	-15.762883	84.01506	-0.0923946	TEAD2	TEA domain transcription factor 2
8075106	1.54e-38	3.06e-41	-15.649269	83.00335	-0.08293791	TPST2	tyrosylprotein sulfotransferase 2
7914489	1.57e-38	3.16e-41	-15.645632	82.67765	-0.05009765	PTP4A2	protein tyrosine phosphatase type IVA, member 2
7942123	2.68e-38	5.48e-41	15.58324	82.32818	0.08536105	CCND1	cyclin D1
8088560	4.32e-38	8.95e-41	-15.527743	81.8702	-0.20440168	ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9
8162373	6.56e-38	1.38e-40	15.478735	81.49598	0.25702214	OGN	osteoglycin
8158431	6.81e-38	1.45e-40	-15.472974	81.45309	-0.10972299	PHYHD1	phytanoyl-CoA dioxygenase domain containing 1
8015607	9.81e-38	2.12e-40	-15.429925	80.79801	-0.08283485	STAT3	signal transducer and activator of transcription 3
8128394	1.26e-37	2.77e-40	15.399798	80.75281	0.05994509	PNISR	PNN interacting serine and arginine rich protein
7947681	2.03e-37	4.50e-40	15.344644	80.14317	0.07002372	ARHGAP1	Rho GTPase activating protein 1
8074261	2.66e-37	6.06e-40	-15.310927	80.06742	-0.09864327	BID	BH3 interacting domain death agonist
7920409	2.47e-37	5.57e-40	-15.320493	80.05963	-0.06463069	JTB	jumping translocation breakpoint
8081503	3.22e-37	7.44e-40	15.287731	79.85626	0.11969495	DZIP3	DAZ interacting zinc finger protein 3
8165271	4.02e-37	9.41e-40	-15.261077	79.63821	-0.13939837	LCN10	lipocalin 10
7902541	4.28e-37	1.02e-39	15.252401	79.53732	0.23206931	IFI44L	interferon induced protein 44 like
7965941	4.38e-37	1.05e-39	15.248296	79.4827	0.15976101	GLT8D2	glycosyltransferase 8 domain containing 2
8087935	4.87e-37	1.18e-39	-15.234866	79.28394	-0.10423074	NT5DC2	5'-nucleotidase domain containing 2
7955562	8.32e-37	2.05e-39	-15.172693	78.81924	-0.08724568	ACVRL1	activin A receptor like type 1
7951521	1.37e-36	3.41e-39	15.114744	78.31712	0.15310858	C11orf65	chromosome 11 open reading frame 65
8160670	2.11e-36	5.33e-39	-15.064139	77.90872	-0.2111055	AQP3	aquaporin 3 (Gill blood group)
8171248	2.79e-36	7.20e-39	15.029848	77.61967	0.17560388	ANOS1	anosmin 1
7962058	2.51e-36	6.41e-39	-15.043104	77.59128	-0.09601105	TMTC1	transmembrane and tetratricopeptide repeat containing 1
7977077	3.41e-36	8.91e-39	-15.005653	77.28593	-0.08481507	MARK3	microtubule affinity regulating kinase 3
7949808	4.29e-36	1.13e-38	-14.978116	77.13875	-0.09763051	PITPNM1	phosphatidylinositol transfer protein membrane associated 1
7914015	4.73e-36	1.27e-38	-14.965667	77.05633	-0.18161401	FAM46B	family with sequence similarity 46 member B
8010287	4.86e-36	1.31e-38	-14.961486	76.87974	-0.16679246	C1QTNF1	C1q and tumor necrosis factor related protein 1
8175924	5.19e-36	1.42e-38	-14.952622	76.8501	-0.06031274	NAA10	N(alpha)-acetyltransferase 10, NatA catalytic subunit
8147469	8.44e-36	2.33e-38	14.896075	76.35029	0.0833509	CPQ	carboxypeptidase Q
7920401	1.17e-35	3.26e-38	-14.85784	76.04807	-0.06817153	SLC39A1	solute carrier family 39 member 1
7973108	1.23e-35	3.46e-38	-14.851027	76.04306	-0.26559639	ECRP	ribonuclease A family member 2 pseudogene
7902425	1.81e-35	5.16e-38	-14.805656	75.66386	-0.14788605	ST6GALNAC3	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3
7953150	3.69e-35	1.06e-37	-14.723099	74.95208	-0.15859673	TEAD4	TEA domain transcription factor 4
7929047	4.07e-35	1.19e-37	14.710549	74.83804	0.17852282	IFIT2	interferon induced protein with tetratricopeptide repeats 2
8028872	4.72e-35	1.39e-37	14.692663	74.56781	0.09959587	LTBP4	latent transforming growth factor beta binding protein 4
8173059	5.09e-35	1.53e-37	-14.681662	74.56008	-0.26752555	WNK3	WNK lysine deficient protein kinase 3
8076137	5.09e-35	1.52e-37	-14.682163	74.5	-0.06822651	SUN2	Sad1 and UNC84 domain containing 2
8104856	6.83e-35	2.07e-37	14.64684	74.24974	0.09673752	SPEF2	sperm flagellar 2
7935296	8.47e-35	2.62e-37	14.620025	74.058	0.23625661	TLL2	tolloid like 2
7913216	9.54e-35	2.98e-37	-14.60537	73.81663	-0.35012871	PLA2G2A	phospholipase A2 group IIA
7904254	7.82e-35	2.40e-37	-14.630276	73.76143	-0.06938463	ATP1A1	ATPase Na+/K+ transporting subunit alpha 1
8048847	1.05e-34	3.30e-37	-14.593634	73.53543	-0.03751476	AGFG1	ArfGAP with FG repeats 1
8172345	1.39e-34	4.43e-37	-14.560099	73.53279	-0.07974889	ELK1	ELK1, ETS transcription factor
7990080	1.66e-34	5.33e-37	-14.538796	73.2237	-0.07269071	LARP6	La ribonucleoprotein domain family member 6
7956076	2.03e-34	6.58e-37	-14.514842	73.14637	-0.11214227	CDK2	cyclin dependent kinase 2
7990269	2.19e-34	7.18e-37	-14.504802	72.98261	-0.13930853	C15orf59	chromosome 15 open reading frame 59
8113073	2.23e-34	7.35e-37	14.502075	72.87715	0.12176135	ARRDC3	arrestin domain containing 3
8062326	2.65e-34	8.92e-37	-14.480007	72.77065	-0.05205172	C20orf24	chromosome 20 open reading frame 24
7941302	2.63e-34	8.76e-37	-14.48201	72.76681	-0.06761786	FAM89B	family with sequence similarity 89 member B
8131996	2.73e-34	9.34e-37	14.474722	72.71719	0.13487758	CREB5	cAMP responsive element binding protein 5
8168517	3.13e-34	1.08e-36	14.458059	72.64465	0.17408459	LPAR4	lysophosphatidic acid receptor 4
7934533	3.14e-34	1.10e-36	-14.456408	72.64069	-0.16584355	DUSP13	dual specificity phosphatase 13
7941274	2.73e-34	9.33e-37	-14.474799	72.61992	-0.03887263	SCYL1///LTBP3	SCY1 like pseudokinase 1///latent transforming growth factor beta binding protein 3
7965040	3.24e-34	1.15e-36	14.451054	72.58163	0.23880862	PHLDA1	pleckstrin homology like domain family A member 1
7925320	3.24e-34	1.15e-36	-14.451003	72.38978	-0.09606406	NID1	nidogen 1
8053801	3.99e-34	1.43e-36	14.426159	72.26771	0.09141346	ANKRD36C///ANKRD36///ANKRD36B	ankyrin repeat domain 36C///ankyrin repeat domain 36///ankyrin repeat domain 36B
7953547	4.23e-34	1.54e-36	-14.417519	72.20738	-0.05648263	ATN1	atrophin 1
7946579	4.05e-34	1.46e-36	-14.423605	72.12724	-0.23111219	LYVE1	lymphatic vessel endothelial hyaluronan receptor 1
7899043	5.11e-34	1.87e-36	-14.395004	71.96736	-0.06620896	SEPN1	selenoprotein N, 1
8009693	7.07e-34	2.68e-36	-14.354091	71.75678	-0.10840886	TMEM104	transmembrane protein 104
7977987	5.45e-34	2.01e-36	-14.386688	71.69988	-0.22697647	MYH6	myosin heavy chain 6
8075239	7.07e-34	2.66e-36	-14.354729	71.68793	-0.07646937	THOC5	THO complex 5
8065569	6.54e-34	2.43e-36	-14.364937	71.67883	-0.08104331	BCL2L1	BCL2 like 1
8024282	1.47e-33	5.62e-36	-14.268918	70.97623	-0.06116898	DAZAP1	DAZ associated protein 1
8076307	1.57e-33	6.03e-36	-14.260888	70.89214	-0.07883921	RANGAP1	Ran GTPase activating protein 1
7943795	1.92e-33	7.45e-36	-14.236486	70.73973	-0.15885907	HSPB2-C11orf52///C11orf52	HSPB2-C11orf52 readthrough (NMD candidate)///chromosome 11 open reading frame 52
8041644	2.02e-33	7.88e-36	14.230072	70.6867	0.23217303	PLEKHH2	pleckstrin homology, MyTH4 and FERM domain containing H2
8157976	2.02e-33	7.95e-36	14.229099	70.58647	0.12040804	GARNL3	GTPase activating Rap/RanGAP domain like 3
8129985	2.49e-33	9.88e-36	14.204115	70.40385	0.09543901	HYMAI///PLAGL1	hydatidiform mole associated and imprinted (non-protein coding)///PLAG1 like zinc finger 1
8029507	2.86e-33	1.15e-35	-14.186375	70.30461	-0.08206252	NECTIN2	nectin cell adhesion molecule 2
8103646	2.88e-33	1.17e-35	14.185107	70.26626	0.06385497	NEK1	NIMA related kinase 1
8043697	2.86e-33	1.14e-35	14.1876	70.22918	0.09012598	ANKRD36///ANKRD36B	ankyrin repeat domain 36///ankyrin repeat domain 36B
8078834	3.86e-33	1.60e-35	14.148771	69.9467	0.06429688	WDR48	WD repeat domain 48
8120883	3.84e-33	1.58e-35	14.150015	69.9282	0.06921364	DOPEY1	dopey family member 1
7921821	4.30e-33	1.80e-35	-14.135334	69.86312	-0.28620705	ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4
7947425	3.41e-33	1.39e-35	-14.164674	69.71209	-0.03933811	CD59	CD59 molecule
7973352	4.38e-33	1.84e-35	-14.132436	69.71102	-0.06973219	LRP10	LDL receptor related protein 10
8124524	8.07e-33	3.42e-35	14.06131	69.23289	0.13054523	HIST1H2AK	histone cluster 1, H2ak
8146967	8.25e-33	3.52e-35	14.057936	69.19108	0.30311516	CRISPLD1	cysteine rich secretory protein LCCL domain containing 1
8083494	8.67e-33	3.72e-35	14.051513	69.13584	0.23114164	MME	membrane metallo-endopeptidase
8101675	1.05e-32	4.53e-35	14.028781	68.9525	0.20866645	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)
8018731	1.06e-32	4.63e-35	-14.026291	68.93042	-0.12359023	RHBDF2	rhomboid 5 homolog 2
7952116	1.05e-32	4.56e-35	-14.028147	68.91246	-0.10372812	BCL9L	B-cell CLL/lymphoma 9-like
7918558	1.19e-32	5.28e-35	-14.011291	68.74943	-0.10603528	KCND3	potassium voltage-gated channel subfamily D member 3
7960730	1.11e-32	4.91e-35	-14.019661	68.62342	-0.09352491	LPCAT3	lysophosphatidylcholine acyltransferase 3
8148070	1.52e-32	6.81e-35	13.981924	68.53411	0.27910053	COL14A1	collagen type XIV alpha 1 chain
8153664	1.53e-32	6.89e-35	-13.980453	68.52485	-0.0781104	BOP1	block of proliferation 1
7972650	1.64e-32	7.44e-35	13.97166	68.46227	0.21327823	FGF14	fibroblast growth factor 14
7938225	2.08e-32	9.56e-35	13.942789	68.21469	0.2257055	OLFML1	olfactomedin like 1
8025741	1.82e-32	8.32e-35	-13.95883	68.1541	-0.04145962	QTRT1///DNM2	queuine tRNA-ribosyltransferase catalytic subunit 1///dynamin 2
8072242	2.08e-32	9.60e-35	-13.942273	68.09737	-0.08083141	NF2	neurofibromin 2
8175811	2.34e-32	1.10e-34	-13.926747	68.07267	-0.11819826	FAM58A	family with sequence similarity 58 member A
7903980	2.30e-32	1.07e-34	-13.929442	68.03476	-0.17687643	C1orf162	chromosome 1 open reading frame 162
8025984	2.63e-32	1.24e-34	13.912874	67.95626	0.13282698	ZNF844	zinc finger protein 844
8151684	3.53e-32	1.68e-34	13.877841	67.65298	0.24780997		
7909510	3.87e-32	1.85e-34	13.866572	67.5606	0.12897458	HHAT	hedgehog acyltransferase
7946757	4.53e-32	2.18e-34	13.847655	67.35532	0.09822954	SOX6	SRY-box 6
8180309	5.00e-32	2.42e-34	-13.83563	67.2664	-0.15121464	ST6GALNAC3	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3
8058462	5.15e-32	2.51e-34	13.831362	67.25311	0.16258222	MDH1B	malate dehydrogenase 1B
8103563	5.51e-32	2.70e-34	13.823029	67.18908	0.13384905	DDX60	DEXD/H-box helicase 60
7899562	5.64e-32	2.78e-34	-13.819458	67.1428	-0.10779868	PTPRU	protein tyrosine phosphatase, receptor type U
7950990	6.21e-32	3.08e-34	-13.807704	67.05096	-0.15150938	SLC36A4	solute carrier family 36 member 4
8168968	7.05e-32	3.51e-34	13.79234	66.92397	0.14605356	GPRASP1	G protein-coupled receptor associated sorting protein 1
7922912	1.00e-31	5.02e-34	13.751124	66.45688	0.04655685	TPR	translocated promoter region, nuclear basket protein
8077612	1.22e-31	6.32e-34	13.724353	66.33155	0.1026223	ARPC4-TTLL3///TTLL3///BRPF1	ARPC4-TTLL3 readthrough///tubulin tyrosine ligase like 3///bromodomain and PHD finger containing 1
8146794	1.18e-31	6.08e-34	13.728863	66.26593	0.07917028	PREX2	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2
8084439	1.14e-31	5.79e-34	-13.734604	66.25278	-0.05556085	EIF4G1	eukaryotic translation initiation factor 4 gamma 1
8050846	1.33e-31	6.91e-34	13.714073	66.22387	0.06911639	DTNB	dystrobrevin beta
7968242	1.13e-31	5.72e-34	-13.73603	66.21915	-0.06059144	GTF3A	general transcription factor IIIA
8158317	1.17e-31	5.99e-34	13.730641	66.12799	0.05499808	SPTAN1	spectrin alpha, non-erythrocytic 1
7929012	1.51e-31	7.96e-34	13.697645	66.11717	0.12150303	STAMBPL1	STAM binding protein like 1
8128991	1.33e-31	6.96e-34	13.713243	66.07217	0.09299801	LAMA4	laminin subunit alpha 4
8036867	1.59e-31	8.41e-34	-13.691305	66.00811	-0.08493568	C19orf47	chromosome 19 open reading frame 47
7999291	1.72e-31	9.13e-34	13.681766	65.98107	0.17570521	C16orf89	chromosome 16 open reading frame 89
8004184	1.80e-31	9.61e-34	13.67586	65.7926	0.10007816	XAF1	XIAP associated factor 1
8171172	1.95e-31	1.05e-33	13.665986	65.76827	0.24883809	MXRA5	matrix remodeling associated 5
8107934	2.13e-31	1.15e-33	13.654639	65.69573	0.08138843	C5orf56	chromosome 5 open reading frame 56
8076569	2.20e-31	1.20e-33	-13.649914	65.6858	-0.07476665	TTLL12	tubulin tyrosine ligase like 12
8158224	2.31e-31	1.28e-33	-13.64286	65.62848	-0.09285679	SLC27A4	solute carrier family 27 member 4
8042867	2.19e-31	1.19e-33	13.650812	65.55281	0.04625287	WBP1	WW domain binding protein 1
8011462	2.37e-31	1.32e-33	13.639313	65.50818	0.0514893	NCBP3	nuclear cap binding subunit 3
8086505	2.29e-31	1.26e-33	-13.644384	65.48277	-0.04839481	ZDHHC3	zinc finger DHHC-type containing 3
8177628	2.73e-31	1.52e-33	13.622293	65.44272	0.08908083	CCDC125	coiled-coil domain containing 125
8035040	3.25e-31	1.82e-33	-13.601575	65.29805	-0.07757307	WIZ	widely interspaced zinc finger motifs
8152491	3.35e-31	1.90e-33	13.5968	65.14783	0.09797974	EXT1	exostosin glycosyltransferase 1
8005043	3.75e-31	2.16e-33	13.581646	65.12878	0.25523718	LINC00670	long intergenic non-protein coding RNA 670
7959173	3.35e-31	1.89e-33	-13.59716	65.02643	-0.044018	RNF10	ring finger protein 10
8055183	3.67e-31	2.11e-33	-13.584755	65.0217	-0.06497615	SMPD4	sphingomyelin phosphodiesterase 4
8032839	4.42e-31	2.56e-33	-13.562111	64.96169	-0.13158898	SEMA6B	semaphorin 6B
8167449	3.52e-31	2.01e-33	-13.590458	64.93914	-0.09774753	PLP2	proteolipid protein 2
8086908	5.44e-31	3.19e-33	-13.536727	64.72418	-0.09123491	PLXNB1	plexin B1
7914042	5.12e-31	2.98e-33	-13.54437	64.68381	-0.09899328	MAP3K6	mitogen-activated protein kinase kinase kinase 6
8015955	6.55e-31	3.86e-33	-13.514519	64.55475	-0.08751684	ATXN7L3	ataxin 7 like 3
8122334	7.12e-31	4.21e-33	13.504241	64.43852	0.2397341	ACKR4	atypical chemokine receptor 4
8157193	7.86e-31	4.68e-33	13.492121	64.36623	0.15544174	ZNF483	zinc finger protein 483
7960575	8.70e-31	5.25e-33	-13.478661	64.22659	-0.09244568	NOP2	NOP2 nucleolar protein
8130383	8.70e-31	5.25e-33	-13.478746	64.12627	-0.05348702	MTRF1L	mitochondrial translational release factor 1 like
7962029	9.78e-31	6.02e-33	-13.462719	64.10179	-0.14359941	OVCH1	ovochymase 1
7967879	9.46e-31	5.75e-33	-13.468144	64.08685	-0.08883381	FAM58DP///FAM58A	family with sequence similarity 58, member A pseudogene///family with sequence similarity 58 member A
7930139	8.39e-31	5.02e-33	-13.483973	64.0836	-0.05841808	TRIM8	tripartite motif containing 8
7921076	1.01e-30	6.22e-33	-13.458928	64.07912	-0.13651654	GPATCH4	G-patch domain containing 4
8032076	9.46e-31	5.77e-33	-13.467686	64.0713	-0.0611711	RNF126	ring finger protein 126
7922474	9.72e-31	5.95e-33	-13.464035	64.05978	-0.1270201	KIAA0040	KIAA0040
8115594	1.30e-30	8.09e-33	13.428275	63.81943	0.1366809	C1QTNF2	C1q and tumor necrosis factor related protein 2
8013341	1.19e-30	7.37e-33	13.439221	63.76479	0.16116396	MFAP4	microfibrillar associated protein 4
8099817	1.59e-30	1.01e-32	13.402884	63.60853	0.12453524	KLF3-AS1	KLF3 antisense RNA 1
8180337	1.30e-30	8.16e-33	-13.427367	63.58166	-0.0728567	ATF4	activating transcription factor 4
8026155	1.58e-30	9.95e-33	-13.40422	63.49301	-0.07684994	NACC1	nucleus accumbens associated 1
7903414	1.96e-30	1.25e-32	13.377623	63.29329	0.1038469	AMY2B///AMY2A///AMY1C///AMY1B///AMY1A	amylase, alpha 2B (pancreatic)///amylase, alpha 2A (pancreatic)///amylase, alpha 1C (salivary)///amylase, alpha 1B (salivary)///amylase, alpha 1A (salivary)
8120967	2.59e-30	1.66e-32	13.344825	63.11597	0.20918927	NT5E	5'-nucleotidase ecto
8102567	2.61e-30	1.67e-32	13.343529	63.0728	0.10570063	PRDM5	PR/SET domain 5
7994928	2.64e-30	1.71e-32	-13.341357	63.02744	-0.06519077	PHKG2	phosphorylase kinase catalytic subunit gamma 2
8167815	2.70e-30	1.75e-32	13.338488	62.95101	0.07252788	MAGED2	MAGE family member D2
7905854	3.00e-30	1.96e-32	-13.325032	62.92775	-0.0636579	ZBTB7B	zinc finger and BTB domain containing 7B
8031550	3.00e-30	1.95e-32	-13.325518	62.85257	-0.06784373	EPN1	epsin 1
8173917	3.61e-30	2.38e-32	13.302359	62.75271	0.26291196	NAP1L3	nucleosome assembly protein 1 like 3
8135734	3.02e-30	1.99e-32	13.323519	62.73863	0.07656813	CPED1	cadherin like and PC-esterase domain containing 1
8061428	3.62e-30	2.40e-32	-13.301492	62.60786	-0.07375687	ENTPD6	ectonucleoside triphosphate diphosphohydrolase 6 (putative)
8174654	4.40e-30	2.94e-32	13.278025	62.54362	0.17208512	KLHL13	kelch like family member 13
8019376	4.61e-30	3.10e-32	-13.271663	62.44483	-0.07289874	DUS1L	dihydrouridine synthase 1 like
8012475	4.50e-30	3.01e-32	13.274996	62.36241	0.1075904	MYH10	myosin, heavy chain 10, non-muscle
8044793	5.54e-30	3.78e-32	-13.248556	62.29361	-0.13272751	STEAP3	STEAP3 metalloreductase
7950810	5.59e-30	3.83e-32	13.24692	62.28676	0.13329558	SYTL2	synaptotagmin like 2
8078461	5.69e-30	3.91e-32	13.244484	62.26413	0.11975427	FBXL2	F-box and leucine rich repeat protein 2
7895694	5.09e-30	3.44e-32	-13.25955	62.1592	-0.06972387		
7954481	5.43e-30	3.69e-32	13.251363	62.10731	0.07784817	SSPN	sarcospan
7928705	6.14e-30	4.24e-32	-13.235069	62.02085	-0.06408922	TSPAN14	tetraspanin 14
8166797	7.09e-30	4.92e-32	-13.217757	61.96822	-0.12891755	MID1IP1	MID1 interacting protein 1
7991335	8.87e-30	6.21e-32	-13.1904	61.80184	-0.25715916	ANPEP	alanyl aminopeptidase, membrane
7913883	8.67e-30	6.04e-32	13.193629	61.78949	0.09597409	PAFAH2	platelet activating factor acetylhydrolase 2
7898677	9.61e-30	6.75e-32	-13.180592	61.6448	-0.09493323	HS6ST1	heparan sulfate 6-O-sulfotransferase 1
8128247	1.16e-29	8.21e-32	13.157751	61.53282	0.11711995	BACH2	BTB domain and CNC homolog 2
7968703	1.20e-29	8.54e-32	13.153176	61.47676	0.09594301	NHLRC3	NHL repeat containing 3
8077833	1.26e-29	9.02e-32	13.146697	61.43505	0.18573132	SLC6A1	solute carrier family 6 member 1
8053599	1.07e-29	7.59e-32	13.166988	61.43393	0.04813836	WBP1	WW domain binding protein 1
8009096	1.26e-29	9.10e-32	13.145725	61.43156	0.09889095	ACE	angiotensin I converting enzyme
8041961	1.26e-29	9.11e-32	-13.145513	61.43007	-0.16964539	CHAC2	ChaC cation transport regulator homolog 2
8051119	1.39e-29	1.01e-31	-13.133091	61.25756	-0.06110401	PPM1G	protein phosphatase, Mg2+/Mn2+ dependent 1G
8119620	1.58e-29	1.16e-31	-13.117653	61.1942	-0.22144999	GNMT	glycine N-methyltransferase
8142120	1.27e-29	9.21e-32	-13.144298	61.02346	-0.07988803	NAMPT	nicotinamide phosphoribosyltransferase
